,RESUMO,TEXTO
0,É #FAKE que PT pediu ao STF apreensão de CNH e passaporte de devedores,Partido pediu exatamente o contrário: que tribunal proibisse a cassação dos documentos. 
0,É #FAKE cobrança de taxa extra por pagamento via PIX em fatura de água em Goiás,Pagamento via PIX é gratuito e não existe cobrança de impostos para fazer esse tipo de transação. Valor que aparece ao lado do símbolo do PIX se refere apenas a impostos sobre serviço de água e esgoto.
0,É #FAKE que vídeo de mulher chutando criança de dois anos na rua foi feito no Brasil  ,Imagens foram registradas no Equador. Jornais locais e órgãos do governo relataram o episódio. Criança está sob cuidados de parentes. 
0,É #FAKE que vídeo mostre raio atingindo foliões em festival,"O que as imagens mostram são acidente que ocorreu em 2011, em Minas Gerais, quando um fio energizado caiu no chão, provocando a morte de 16 pessoas."
0,É #FAKE áudio atribuído a Galvão Bueno sobre esquema que promete dinheiro automático,Galvão Bueno não gravou um vídeo com esse conteúdo. Áudio criado artificialmente e legendas falsas foram inseridos ao vídeo original. Análise do vídeo na plataforma DeepWare ponta que o conteúdo é suspeito.
0,#FAKE: g1 não publicou matéria sugerindo que Hotel Tropical está abandonado no AM,"Ao contrário do que diz a montagem, o empreendimento passa por reformas e deverá ser reaberto no segundo semestre deste ano. "
0,"É #FAKE vídeo que mostra bandidos fazendo arrastão no Túnel Rebouças, no Rio","Ação mostrada em filmagem faz parte, na verdade, da gravação de uma websérie baiana para o YouTube. Além disso, o vídeo foi feito em Salvador, e não no Rio de Janeiro."
0,É #FAKE que g1 tenha publicado reportagem sobre criação de vagas de estacionamento prioritárias para LGBT,g1 não publicou reportagem com esse título e conteúdo. Imagem foi obtida de forma fraudulenta. 
0,É #FAKE que Flávio Dino propôs decreto para retirar porte de arma de policiais militares inativos,Ministério da Justiça esclarece que é falsa a afirmação sobre a retirada do porte de armas para policiais militares inativos de todo o Brasil.
0,É #FAKE que decreto sobre participação social decida quem é dono de propriedade no Brasil ,Direito de propriedade está previsto na Constituição e não pode ser reduzido ou limitado por decreto. Legislação mencionada apenas cria canal de diálogo entre governo e entidades da sociedade civil para criação de políticas públicas. 
0,É #FAKE que fotos mostrem cão que encontrou sua dona após terremoto na Turquia em 2023,Imagens são antigas e estão na internet e em bancos de imagens desde 2018.
0,É #FAKE que g1 publicou reportagem dizendo que Lulinha foi preso no Paraguai,"Montagem que circula nas redes sociais usa foto de Adriano da Nóbrega, miliciano carioca morto na Bahia em 2020. Fábio Luís Lula da Silva não foi preso no Paraguai."
0,É #FAKE que Lula mandou fechar canal de transposição do São Francisco em Salgueiro (PE),"Barreira mostrada em vídeo é utilizada desde 2020 para reter água no reservatório de Negreiros e impedir que ela escoe para o próximo reservatório, Milagres."
0,É #FAKE que perfil de líder Yanomami no Instagram omitiu crise humanitária,"Publicação afirma que perfil de Junior Hekurari  postava apenas fotos de índios gordinhos e felizes, mas pesquisa no perfil mostra posts de 2021 que já falavam sobre a crise. Conselho Indígena Roraima afirma que mensagem falsa esconde as inúmeras tentativas dele de denunciar o que vinha ocorrendo."
0,É #FAKE vídeo que mostra traficante armado fazendo selfie perto de PMs ,Imagens são parte de uma obra de ficção. Todos os participantes são atores. Arrmas e fardas não são reais. 
0,É #FAKE que PM do Rio de Janeiro fez texto que fala em tempos difíceis e dá 24 dicas de segurança ,Publicação viral é antiga e voltou a circular. PM afirma que não produziu tal conteúdo. 
0,"É #FAKE que Haddad anunciou em 2023 Bolsa Travesti no valor de R$ 1,8 mil ",Vídeo antigo circula como se fosse atual e trata de programa da Prefeitura de São Paulo para pessoas em situação de vulnerabilidade.
0,É #FAKE que foto de homem com colete da Opas prove que indígenas desnutridos estão na Venezuela,"A Fiocruz confirmou que o profissional na foto é André Siqueira, médico infectologista e pesquisador do Instituto Nacional de Infectologia Evandro Chagas (INI/Fiocruz).  A imagem foi feita em Roraima.  A Organização Pan-Americana da Saúde (Opas) atua em conjunto com o Ministério da Saúde para solucionar a crise humanitária. "
0,É #FAKE que indígenas em estado de desnutrição em Roraima são venezuelanos,Organizações como a Survival e a Associação Expedicionários da Saúde (EDS) afirmam que crise afeta indígenas brasileiros.  O Ministério da Saúde e a Funai também desmentem a mensagem falsa. 
0,É #FAKE que canal de transposição do São Francisco mostrado em vídeo foi fechado após início do governo Lula,"Desde novembro não há liberação de água no canal mostrado em vídeo enganoso. Bombeamento no local só é feito periodicamente a pedido da operadora, informam o governo estadual do Ceará e o Ministério da Integração e do Desenvolvimento Regional."
0,É #FAKE que integrante do MST quebrou relógio do século XVII no Palácio do Planalto,"Homem que aparece em foto viral com camiseta do MST não é o mesmo que derrubou no chão presente de Luís XIV. Vândalo foi identificado como Antônio Cláudio Alves Ferreira, morador de Catalão, em Goiás. Ele foi preso em Uberlândia."
0,É #FAKE que relógio do século XVII foi destruído antes de ataque de bolsonaristas ao Planalto,Publicações alegam que marcação do relógio antigo de horário anterior à invasão prova que ataque foi feito antes da invasão bolsonarista por alguém que não integrava o grupo. Governo explica que relógio já não funciona há dez anos. 
0,"É #FAKE que governo Lula aumentou auxílio-reclusão para R$ 1.754,18, valor maior que o salário mínimo","O INSS informa que o benefício máximo é de um salário mínimo, ou R$ 1.302. Mensagens falsas citam teto recebido por beneficiários antes da prisão para confundir."
